movie_id,cluster,rating,raters
tt0181875,13,7.9,279738
tt0181984,1,7.0,54167
tt0182000,3,5.8,7977
tt0182027,0,6.0,81
tt0182295,8,5.9,4728
tt0183113,15,5.4,90
tt0183280,3,3.3,396
tt0183423,6,4.0,121
tt0183505,0,6.6,240730
tt0183523,15,5.6,74292
tt0183550,7,6.4,571
tt0183639,6,4.6,165
tt0183649,15,7.1,272644
tt0183659,5,7.0,28652
tt0183790,2,6.9,190210
tt0183808,1,4.9,589
tt0183869,2,6.5,56636
tt0184719,6,6.8,294
tt0184791,1,6.1,21464
tt0184858,2,5.8,40857
tt0184894,2,6.6,129492
tt0184907,0,5.1,13107
tt0185007,0,5.0,385
tt0185014,13,7.2,64999
tt0185183,2,2.5,80823
tt0185431,0,5.3,107478
tt0186045,0,5.7,14918
tt0186151,4,7.4,110151
tt0186183,1,6.1,3647
tt0186202,14,5.6,917
tt0186454,3,3.7,465
tt0186549,14,5.4,412
tt0186566,15,6.5,82669
tt0186589,0,5.7,14621
tt0186719,6,4.1,208
tt0186894,14,5.8,21145
tt0186975,7,5.0,15299
tt0187393,3,7.2,278866
tt0187512,8,5.0,5697
tt0187559,0,5.9,855
tt0187738,12,6.7,222308
tt0187750,15,4.8,365
tt0187847,6,6.7,43
tt0188045,0,5.4,297
tt0188128,0,6.6,1311
tt0188160,6,6.1,883
tt0188453,15,6.0,25793
tt0189192,0,5.7,19546
tt0189462,0,0.0,0
tt0189541,14,4.9,1593
tt0189998,6,6.9,42595
tt0190052,14,4.2,125
tt0190138,0,6.7,122963
tt0190374,2,3.6,33990
tt0190590,0,7.7,316148
tt0190736,6,4.2,612
tt0190861,5,6.6,7960
tt0190865,3,5.9,62706
tt0191037,1,5.6,2300
tt0191074,1,5.2,3376
tt0191133,13,5.5,7322
tt0191242,15,5.1,619
tt0191397,0,6.6,66268
tt0191754,13,6.1,51310
tt0191996,15,6.0,4160
tt0192023,1,6.3,2521
tt0192071,8,5.7,19346
tt0192110,15,8.3,39
tt0192222,0,3.4,11
tt0192255,0,5.7,10791
tt0192455,0,4.7,3813
tt0192614,3,5.6,32771
tt0192630,0,7.1,22
tt0192719,4,4.7,678
tt0192722,0,6.8,39
tt0193135,8,5.5,195
tt0193318,0,3.1,753
tt0193364,2,4.6,8729
tt0193560,3,5.2,6116
tt0193859,15,4.4,91
tt0194218,13,6.7,8723
tt0194368,0,6.0,4136
tt0194410,15,4.2,428
tt0195234,0,6.9,18754
